user_id,Submit_Date,Start_Date,Date_Timestamp,Question_01,Question_02,Question_03,Question_04,Question_05,Question_06,Question_07,Question_08,Question_09,Question_10,Question_11,Question_12,Question_13,Question_14,Question_15,Question_16,Question_17,Question_18,Question_19,Question_20
621e2f7a67b776a240f14425,13/7/2021 10:08,13/7/2021 10:07,13/7/2021 10:08,5,2,4,3,4,1,1,1,2,3,2,4,1,2,3,4,2,1,5,1
621e2f7a67b776a240f14425,19/7/2021 10:33,19/7/2021 10:32,19/7/2021 10:33,4,5,2,5,4,1,2,1,4,4,1,5,1,2,5,4,5,1,4,1
621e2f7a67b776a240f14425,30/7/2021 8:49,30/7/2021 8:48,30/7/2021 8:49,5,2,5,4,5,1,3,1,5,5,1,3,1,4,2,4,3,1,4,2
621e2f9167b776a240011ccb,28/11/2021 21:10,28/11/2021 21:07,28/11/2021 21:10,4,5,5,5,3,1,1,1,1,5,4,4,1,4,4,4,5,5,5,2
621e2f9167b776a240011ccb,9/1/2022 22:57,9/1/2022 22:54,9/1/2022 22:57,4,5,4,5,4,4,4,4,5,3,1,5,3,3,4,4,2,2,5,4
621e2f9167b776a240011ccb,12/12/2021 22:19,12/12/2021 22:17,12/12/2021 22:19,3,4,3,5,1,2,5,5,5,1,5,5,4,1,5,3,3,5,5,5
621e2f9167b776a240011ccb,26/12/2021 23:01,26/12/2021 23:00,26/12/2021 23:01,5,5,5,5,5,2,1,1,5,5,4,4,1,3,4,4,2,2,5,1
621e2f9167b776a240011ccb,16/1/2022 23:03,16/1/2022 23:01,16/1/2022 23:03,5,5,4,5,3,1,2,1,4,4,5,5,1,3,5,5,5,4,5,2
621e2fb367b776a24015accd,31/5/2021 13:49,31/5/2021 13:48,31/5/2021 13:49,3,3,3,2,3,1,1,1,4,4,2,4,1,4,3,3,3,2,4,1
621e2fb367b776a24015accd,5/7/2021 11:30,5/7/2021 11:29,5/7/2021 11:30,3,2,3,4,3,1,1,2,3,3,2,3,2,3,4,3,3,2,5,1
621e2fb367b776a24015accd,7/6/2021 12:45,7/6/2021 12:44,7/6/2021 12:45,4,2,3,2,4,1,1,1,3,4,1,2,1,4,3,4,4,3,5,1
621e2fb367b776a24015accd,22/6/2021 12:45,22/6/2021 12:45,22/6/2021 12:45,3,3,3,2,4,1,1,1,3,4,1,1,1,4,3,4,3,2,5,1
621e2fb367b776a24015accd,28/6/2021 14:57,28/6/2021 14:56,28/6/2021 14:57,2,4,2,3,3,1,2,3,2,2,3,4,2,3,4,3,2,3,2,2
621e2fb367b776a24015accd,12/7/2021 12:02,12/7/2021 12:02,12/7/2021 12:02,3,2,3,2,3,2,2,2,4,3,2,3,2,2,4,3,2,2,3,2
621e2fb367b776a24015accd,20/7/2021 19:26,20/7/2021 19:26,20/7/2021 19:26,3,2,4,2,3,1,1,2,3,3,2,4,2,1,3,2,2,1,2,1
621e2fb367b776a24015accd,26/7/2021 16:32,26/7/2021 16:32,26/7/2021 16:32,3,2,3,1,3,3,1,1,3,4,1,2,1,3,2,2,2,1,3,1
621e2fb367b776a24015accd,22/6/2021 12:44,22/6/2021 12:43,22/6/2021 12:44,4,3,4,3,4,1,1,1,3,3,2,2,1,3,4,4,3,2,5,1
621e2fce67b776a240279baa,31/5/2021 13:28,31/5/2021 13:26,31/5/2021 13:28,4,4,3,1,1,1,3,1,3,1,2,2,2,2,3,2,3,3,3,1
621e2fce67b776a240279baa,5/7/2021 13:06,5/7/2021 13:05,5/7/2021 13:06,4,2,4,2,2,1,1,1,4,2,3,3,2,4,4,3,4,2,3,3
621e2fce67b776a240279baa,20/7/2021 12:07,20/7/2021 12:05,20/7/2021 12:07,3,2,2,3,1,1,2,1,3,1,3,2,1,1,3,2,3,1,2,1
621e2fce67b776a240279baa,26/7/2021 13:12,26/7/2021 13:11,26/7/2021 13:12,4,3,4,2,2,1,1,1,4,1,1,1,1,3,2,2,3,1,4,2
